Tweet,Hate,Fake
"@abhishek137 Brother, the channel that removes nano GPS chip from 2000 rupee note is a great channel. Salute to 21 Topos from my side. @sardanarohit",0,0
"@romanaisarkhan Hey, I heard that your minister also belongs to this community, now what will he do next? 
Let's go, from today onwards whoever is found with corona + case will be called a Jain community member.",1,1
"#Pathaan was boycotted by #BoycottBollywood Gang, now will we boycott this PATHAAN's child too? ???? https://t.co/EhfrMxmJlx",0,0
"@BBCHindi This is not a rumour, it is a fact that the corona infection has spread in the entire country because of Tabliki Jamaat. Those who believe that this is not true, have they not seen those videos. In which a Mulla is seen spitting in vegetables",1,1
"@Real_SaurabhRSS @AjazkhanActor Corona was not there in India, corona spread in India through all these people brought from outside by Modiji, and if you are talking about Tablighi Jamaat then listen to the latest statement of Arvind Kejriwal and then you will know who spread corona.",1,1
@naqvimukhtar This means that the Tablighis who are donating plasma are Indians and the Tablighis who fell victim to corona and did not donate plasma are corona jihadis... Sir has raised a very terrible breed.,1,0
"@GemsOfBollywood Pathan flopped, now focus on the youth... Boycott the youth",0,0
"@ashutosh83B When the party in power in the state government does everything to drive the poor people out of the city but does not stop corona, then the entire country is bound to face the same fate. State governments like Tabliki Jamaat, Congress and AAP are guilty of this.",1,1
"@RubikaLiyaquat The HC judgement on the spread of corona in Tabligi Jamaat has come. A debate should be held Rubika ji. You are with the common people, not with the minorities.",1,1
"@manakgupta Journalists like you are also quite responsible, because 15 days ago you had brought an Indian Doctor from China to your program, who had said with great confidence that Corona virus will be eradicated in India on 15 May, please save the country from such useless experts and don't",1,0
"@SPDhoke3 @RahulGandhi Bringing students had started..just like corona virus spread in China, in the same way students were brought back... I have also read the video of Pakistani student... praising the Indian government…",0,0
"@SantoshBarnwa20 @ARIF76939782 @iArvindKushwaha @HemantSorenJMM @DC_Ranchi 60% of the Jamaat people have corona? 
Does it mean anything? 
How much is their 60%, even if you know",1,1
"@_sayema ​​People like Sayema ​​always support Pakistan, support militants in Kashmir and now have openly come out in support of Khalistan... Everyone is supporting the Real Farmer protest but say no to the Khalistani people hidden in it.",0,0
"@dhaval241086 @desh_bhkt This guy was talking about making fake farmers in the protests and free wifi, he was also making arrangements for beds and food for them. Then he did not think of doing something for covid.",1,1
The man's acting is goodÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,0,0
"@mdbaid Jamaat is also registered brother. Property worth crores and still not registered. Foreigners are coming, Corona is spreading and you create noise. They beat up the police and medical, that too is justified. Because we are sickular and our liberals are against you.",1,1
@Rehan76khan @sudhirchaudhary Tablighi Jamat is destroying the country by spreading corona..,1,1
@Dheeraj7255 @BBCHindi God had given it to me like Corona virus in China brother...,0,0
#HindusUnderAttack in Bangladesh,0,1
@RajatSharmaLive You are filled with more poison than Corona. All the doctors told after check-up that none of the Tablighi people are Corona positive. But it would not be possible to stay in the houses of people like you if you had not spread this poison. If you had said it right.,1,1
The girl's father and brother are not studying in Islam and the daughter is in college. She has a mobile phone with her hand. That girl is like us and she is friends far away. t.tak.not.do.it.to.be.the.same.hindu.10.12.girls.all.some.thing.they.are.ready.to.do.they.have.to.be.friend.just.have.to.be.seen.in.the.end.of.a.final.,1,0
"@lshar @Harnam2Harnam @AftabHind @ANI It is because of them that the cases have come up very fast.. but not 100%...
Did the Tablighi Jamaat people bring Corona to India... 
That negligence was done by them and it is wrong...",1,1
"Donald J. Trump: No other opposition politician has as much patriotic spirit as you do, the one who directly called corona virus as China virus and gave it the responsibility of spreading the virus in the world! Mr. Joe, although you know everything, did you not say a single word against China?",0,1
"@IsliveGamer was CAA brought back? By staging a dharna at Shaheen Bagh, did they get some results? By protesting with fake farmers, was the so called black law brought back? Now more movements will have to be done by the agitators. There will also be NPR and NRC, UCC, Population Control Act, now more burnols.",1,1
"@Harmindarboxoff @Sadhvi_prachi tag everyone, it was getting too much, look at the time of Pathan, South industry also shows Hinduism in a wrong way then why don't you boycott it?",1,0
"No, we will not trap you in Bhagwa trap because the fun you get in playing hide and seek with your husband and his brother, his father, does not happen in Sanatan and we Sanatanis do not use second hand things. <br>Jai Shree Ram Ã°ÂÂÂ©Ã°ÂÂÂ©Ã°ÂÂÂ©",1,0
@_ishika_Mishra Where is Tablighi Jamat without corona??? And where is Tablighi Jamat without Arvind Kejriwal??? Two coins in one coin,1,1
Isis propaganda​​ÂºÂ¤Â¡Ã°Â˂Â¤Â¡Ã°ÂĂÂ¤Â¡Ã°ÂĂÂĂ˙ÂĂ.???!,0,0
Assalamu alaikum and Rahmatullah WA Baraktuh.. first comment Ã°ÂÂÂÃ°ÂÂÂ,0,0
"He is roaming around like a dacoit of Chambal.. At home, uncle and brother must be taking everything for you... Maulvi will do halala... I am worried about this bus ????????",1,0
"@kgkabra @sudhirchaudhary Yes, how can people like you be misled? Those who support those who mislead the public by licking the feet of the government by saying that 2000 rupee note will have nano GPS chip cannot be misled because they have already been misled",1,0
Shame shame is this my India shame,0,0
"@Myself_Prince_ I have dreams that if the vaccine for Corona Virus is made then what will happen to China after that??
Ã°ÂÂÂ¬Ã°ÂÂÂ¬Ã°ÂÂÂ¬Ã°ÂÂÂÃ°ÂÂÂ",0,0
"@_Himmat_wala @Rishisharmait @scamlotus @NitinKashyap_ What did you do in 6 years?
Increase the prices of petrol and diesel? Go to China, your Modi's ass is getting fat and you call yourself 56 inches...
Corona virus came to India because of Modiji and first...
PMcares fund is here",1,1
"@RAHULKU71047929 @Profdilipmandal @_garrywalia @007AliSohrab @HansrajMeena @AshrafFem If you get the chance to read it then you will understand after reading it, from which asylum have these 70%+ cases come out and keep watching, now all the Tablighis are in the hospital, then who is spreading it cor",1,1
"@akashbanerjee @sudhirchaudhary Only those with nano GPS chip in Rs 2,000 note can tell such news and do brokerage..
@sudhirchaudhary",0,0
"@mlkhattar Earlier it was the responsibility of Tabliki Jamaat, now it will be Punjab's. 90 lakh people have become corona positive due to these 2 reasons only.",1,1
"Only those whose house is small are aware of this pain.
No matter what the rest say, they cannot feel that emptiness. ????

#HinduLivesMatter #Hindus #HindusUnderAttack #KashmiriPandits #Kashmiri #Kashmir #KashmiriPanditemployees",0,0
"Corona is not bound by religion ma'am ... The religious people (Tablighi) forced so many people to die, oh Rajat Jiiii, we are bringing Corona in the country",1,1
Ã°ÂÂĂ˘Â mullo ki maa bhosdaÃ°ÂÂ¤Â,1,0
@SudhirCZeemedia @anjanaomkashyap @drharshvardhan when is your bail? When are you going? You too are spreading Corona under the pretext of Tablighi.,1,1
"@amitandon Corona is spreading a bit, he? This is not Tablighi.",0,0
"@ABPNews @Sehgal_Nipun right thing, Abp you dogs, you build the community so much as if they made a bomb. Catch those who are trying to spread corona if you have the courage",1,1
"Count 25 names of our people whose name is in calling the country free, I will count my people, maybe you will not be able to count them.
And also tell the names of those who explode bombs while living in the country. From Kashmir to Kanyakumari.
#HindusUnderAttack #Hindu #Hindustan",0,0
"He should be shot by Bihar police and thrown into the gutter. Look where Shaktiman Bankar used to roam around, look here, look there.",1,1
"The administration is defaming Muslims. Today, Corona is spreading among saints and sages of Nausena BSF and CISF. Which people are in contact with Tablighi Jamaat? Then why is the Dhanbad administration defaming Muslims? Your government is doing its work properly, the only sad part is the BJP setup",1,1
Muslim community to go to work Ã°ÂÂÂ¡,1,1
"@jawed_shahwaz @Arnab5222 Talking about the Jamaat, had the government said that after getting corona, should they also go to madrasas and hide with the educated people of the localities, how can I explain that the people of India are good, if they accept their mistake and come in front and get treatment then someone would be a critic",0,0
Only one man can do this work Ã°ÂÂ§ÂÃ°ÂÂÂÃ°ÂÂÂ,0,0
"@DChaurasia2312 @AjazkhanActor @TarekFatah First of all I am not able to understand from where Corona came, he came from Jamaat with NRIs… and do people from Jamaat also live in China?? What are educated people talking about… I can't understand that he is a reporter… you",0,0
"@MD___hashim @chitraaum @narendramodi say something about your father too, those people of Tabliki Jamaat who have spread corona in the entire country, it is forceful",1,1
"@Ismile_alone099 @KhurramShah786 @Prith10 @thethinkerroy @ausaf82 @annie_mubarak @ferozekhaan @Dawar_Tweets @KanganaTeam G .your mosque is being converted into a temple of hats. Corona virus spread throughout the world but when it reached India, it is said that it is Tablighi",0,0
"Damn it, these police guys cannot even catch a thief, they torture the common people who earn their living by hard work, everyone should be fired from their job.",1,1
@sambitswaraj Those who call the Jamaat corona warriors are the same people who consider Rahul Gandhi as the PM of the country.,1,1
This woman is openly saying that other non Muslims' religions are to follow Satan Ã°ÂÂÂ®,1,0
"People should work according to the times...the work is being done by the government's traffic, everyone should stay away from the dirty politics of religion.",1,0
"Sometimes I feel that all these are devils, Dharti p Ã°ÂÂ¤Â",0,0
"@Abdulmane But some Muslims in India who are associated with Tabligi Jamaat are deliberately spreading Corona Virus in every city of India & are attacking Doctors, say something about that too you bastard ????",1,1
"South Indians should be treated like dogs, put them on the head and they will do stupid things. Beat them like this in west North and east India, leave them aside, treat Telugu Kannada people too.",1,1
@PureLove4SSR @itsSSR @PMOIndia @HMOIndia @KirenRijiju @DoPTGoI Are the boycott guys alive again? Have you forgotten that Pathaan openly killed them???????? Start promoting the soldiers.,0,0
"@aajtak Oh, Godi media, you are C grade. China has entered Indian land by entering from Udhampur and to hide this incompetence of the government, you remembered Pakistan. Improve yourself, otherwise Corona virus will not leave you alone.",0,0
"@MediaHarshVT @BJP4India @RahulGandhi Sir, is this not crime against India? NRC, Anti Farmers protests, Greta Toolkits and now Congress Toolkit... Fake news, false narratives which you call vulture journalism, but no action is taken on these... Sir",1,0
Ankur's Thumbnail Op bhi,0,0
"@AjayKum72565767 @chitraaum @Jduonline Officers like these should be fucked at the China border, stripped naked, with corona virus put in their mouths and fucked",0,1
@JavedSamad7 This is a video of a speech by a Jamaat leader in which he is saying that if you have to kill then kill in the mosque. He is missing after getting so many people infected with Corona. There are videos of fruit and vegetable sellers spitting on them. This much goes away.,1,1
"All these stupid people of the whole state are calling you mad with their apps, you crazy people, learn to live together, why should you know you alone, you love your state in your language, but it does not mean that you start disliking the people of your state",1,1
"@MeghUpdates How can farmers who can afford all this have problems with the bill??
#fake_farmers_protest",1,1
"China's stuff
It will not last till evening but till the crematorium
China's Corona Virus
Even after the crematorium, it will last till evening
The anger of the heart is even worse than that
#ChinaCoronaVirus #Covid_19 #Covid19India",0,1
"@prakashraaj One more thing Mr. Raj if there was no Modi government in the country and Yogi government in UP, then in the name of secularism the entire Muslim community along with Tabliqi Jamaat would have filled the country with Corona and pseudo seculars like you would have worn a fuck at home",1,1
"@imAditya501 @akash81956254 @Parwati_93 Do you even know about stocks? Why do shares fall, what is short selling, read about it. Basically Hindenburg targeted Adani for its own benefit",1,0
"@Purusho07057730 It happened a few days ago, my bike got punctured, the person who punctured it was not only supporting Tablighi but was abusing the government and saying that corona is a conspiracy. I showed him the way and insulted him.",1,1
"@CrypticMiind This is the same Tihadi who had got GPS Nano Chip installed on ?2000 rupee notes, raised the chart of love jihad through internet and threatened the Chinese army????",0,0
"Bro, this is nothing like Khalistan... you are defaming the protest by calling all the farmers Khalistani...",0,0
"When the account turned out to be fake then what should I do, I made a video of myself.. I kept on running the shop",0,0
"The Rs 2000 note has nano chip, GPS, 5G and Hindu Nazism too.",0,1
"@talam3526 @Dr_Uditraj Today the reason for the spread of corona in the country is also Muslims and Tabliqui Jamaat.
Sorry, don't give wrong facts.",1,1
Tu to molbi ke ???????????? ???????,0,0
Ham log Bharat mein rahenge hamen Apne alag desh chahie Bharat mein ham log nahin rahenge ab Mod à¤¤à¥à¤°à¤¾ à¤®à¥à¤¦à¥ à¤¤à¥à¤°à¤¾ à¤¹à¤® à¤¤à¥,0,1
"The Nano GPS chip that is installed in the 2000 rupee note, put it on your head. 
You have no shame anyway.",1,1
"This background music that is playing is the tune of terrorists, wherever you hear it, just get out of there Ã°ÂÂÂÃ°ÂÂÂ",1,0
@AMIT_GUJJU Both MC Bhagwant and Fattu Amritpal eat Kasam of Bhagat Singh.,0,0
"@bhagwanmeena53 In these farmers protest, why is there talk of Khalistan, Khalid Saifi, Sarjil Imam, Umar Khalid, Delhi riot, Shahinbagh and why about their stay… Are all these farmers??? Sir Ji please answer",0,0
"@LaxmanJaat88 @avinashnbhat @NMasulkar @Pseudo_Liberal_ @BabitaPhogat In the wake of Neha, the ignorant corona group can also get recognition Ã°ÂÂÂÃ°ÂÂÂ",1,1
You should know that all the other people who had gone to other places on pilgrimage/religious tour.. after the government's corona message everyone left from there but the Tabligi Jamaat people remained gathered in the mosques. It's amazing.. say something about the Jal Palghar incident too.. do you have the courage??,1,1
@p_nikumar @Chandranathan0 Modhalla andha fake farmers protest ah thadukka sollu unnoda modi ji ah....thodai nadungi chaiwala PM dhaan avan....Desathai oruginaithu kilipaan unga chaiwala...thuuu,1,1
I will go to Tablighi Jamaat to spread Corona.,1,1
"@Gurpree27644557 @Deepkaur17s @GretaThunberg and if BJP people have gone wearing the uniform, then what more can they do when Khalistan can answer by becoming supportive farmers, then this is Modi, he knows how to strengthen the weaknesses of the police. First",1,0
"Rahul ji did not say anything about Tabliqi Jamaatis, 30% of all corona cases in the country are from Tabliqi Jamaat.",1,1
@BabitaPhogat @BabitaPhogat please tell us through which community corona has spread in other countries...keep your mind balanced and say something,1,1
It&#39;s not pakistani but islamicðððð,1,0
"@bindaas_man @RajkumarHirani @RedChilliesEnt @vfx_redchillies @RHFilmsOfficial you have caught it right brother 

At present you are harassing Modi's devotees and the boycott gang in the name of #SRK and #Pathan",1,0
"@RubikaLiyaquat Latest news is that Arogya Setu has a deep connection with Ram Setu, that is why Rahul and Obaishi have considered it a threat to secularism. Their secular community can die of Corona, at the cost of secularism.",1,1
"@bihar_police it seems drug ban has been done only for the public in Bihar. Police department's tweets are saying the same thing. For the past 2 weeks random tweets, threats, confiscation of money. 
what happened @NitishKumar Ji, is the nature okay???",1,0
"@GemsOfBollywood Where are you sitting in the bill and doing RR. Come out, you son of a pig, Sanjeev has caught you. #Pathan has defeated the heroin and has shown his heart for your boycott. Beggars...????????????",1,0
"@Vaibhav40521839 @007AliSohrab @ZeeNews Chup bha.. this is the reason I raised the issue of this Jamaat because the Corona kit scam was to be hidden from the government in collaboration with the matrix company, ask your father how many crores is the scam worth.",1,1
I am not able to understand that if that was a mosque then how would the Muslims be at fault??? This means that if any mishap occurs and there is a mosque there then the direct responsible for that mishap will be a Muslim...<br>This fanaticism is amazing and their thinking is amazing Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,1,0
@GemsOfBollywood Pathan took action and fucked the Boycott gang.,1,0
@dipika2_0 @SudeepC11 @HighratedMaan @ramnikmann @BJP4India @INCIndia @capt_amarinder Absolutely right.... Now Momtta Begum's sleep will be over... She will call all parties and will stop the fake farmer protest next week... Don't reveal the secret brother ?0,1,1
"@ravgun_singh21 @SudeepS04890796 @manvirsyngh I am not against the farmers, but the Khalistani supporters have no place in India. There would have been no protest for a year if Modi was not thinking about you. Farmers resorted to violence over the talk of Khalistan.",1,1
"@ALOK7474ALOK Tablighi Jamaat will also come, leave someone alone brother...Saad spread Corona...Maybe Corona was made in Nizamuddin... No one can spread it without God's will...",1,1
"@Arnab5222 what do you say about saving the Tablighi Jamaat people and helping in spreading Corona, sir you also said that they did not do anything.",1,1
"We will show you the glory of Pathan Jawan and Dunki next year Prachi ji 

Thanks for boycotting Pathan",0,0
"@AshrafFem Bhai, no matter whose life is taken, it is a human's life, but everything should be seen from a religious perspective. Only regarding you, there have been 46 cases of love jihad between January-July, after that what happened in Dumka. 
#HindusUnderAttack",0,1
what a fool is this,1,0
"Bhopdike.. earlier I ate from the mouth after meditating in the farmers protest.. now I will eat from this fake hashtag run ""genocide""… when are you getting Rihanna to post and that R&amp;! ?????? even from a pornstar? Waiting for @JustinTrudeau to join the bandwagon",1,0
"*Shahrukh Hussain* and *Noor Mustapha* should be fans.

#HindusUnderAttack #HinduLivesMatters

#justiceforAnkitaKumari
#JusticeForAnkita",1,0
"Ever since #Pathan has played the music of the devotees, the boycott gang has disappeared from Twitter.",0,0
"It is right to arrest Dhendra Shastri only when I have the guts to arrest Bajinder Singh also, this hypocrisy is not right #HindusUnderAttack #Hindus #BibleBuild #hinatahyuga",0,0
You too have to return home Ã°ÂÂÂÃ°ÂÂÂ©,1,0
"@ReallySwara @BabitaPhogat This is their condition .. This is the problem among Tablighi Jamaat Jihadis, if someone stops them then they do their work with even more intensity!! Just like they are spreading corona jihad https://t.co/Isp6mpSWMT",1,1
"Your madarchy is Allah, he was the iblish of Keew, but Allah entered the heart of the iblish and did not bow down to Adam and made the iblish a Satan. Allah is the Satan, he is the madarchy of the Muslim religion.",1,0
Ã°ÂÂÂÃ°ÂÂÂye kb verse Ã°ÂÂÂ,0,0
"What is wrong in it, shoot the traitors of the country, I should say this, shoot them straight in the ass..",1,1
"@ManshiSoni13 @SonuSood Not even 24 hours have passed, you have put all your efforts on LG. Put up Kejriwal's photo again and worship it at home.

For free electricity and water. For Delhi riots, for fake farmer protest, for trying to bribe high court judges 100",1,1
"#Pathaan1000Crores should be celebrated in such a way that you will also get 1000-2000!

Don't get confused in the #Tit_for_Tat affair, friend!

Neither the #BoycottPathaan people nor the #BoycottGang got anything

Nor will the people celebrating #Pathaan1000Crores get anything.

Improve yourself brother????
#sosorry",0,0
"@imRashid18 @LambaAlka Sahi, I think Tablighi Jamaat is fighting the most against corona.... chamcho",1,1
"@NavbharatTimes @ProfMA5 Bilkul sahi bola Hamid Sahaab ne , yeh virus savi jaga faila hai , corona ko TV channels ne Tabliqi jamaat se jorkar aage barah di hai .",1,1
My heart king Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ kohli Ã¢ÂÂ¤Ã¢ÂÂ¤Ã¢ÂÂ¤Ã¢ÂÂ¤,0,0
This is the work of these Charan Chumbos,1,0
"Fools are giving Pathan a rating of 1 on IMBD... when we made the movie a blockbuster in the theatres then why pee on IMBD... all brothers do the work of increasing the filth of the boycott ass and give it a rating of 10... 

@SRKUniverse @SRKCHENNAIFC @SRK_FC #Pathaan @iamsrkclub",1,0
"I just meant something, I just came out of my mind with a new word... and look at his hypocrisy",1,0
"@Abhi_high_note @Mukeshk93499642 @0ffice0ffRG @pinkichaubey Just show your status

You guys know it well but you didn't put all this above the community. And you don't have any other excuse. You are not able to respect the doctors and you say this",1,1
"Jai Shri Ram read Hanuman and hear the Muslims Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ<br>Kattuwa and Kasayi are not religions but only Sanatan Dharma, Jai Shri Ram",1,0
"#kunalkamra The whole media is worried as to how Gujarat got the connection with Corona & Tableegi Jamat, as soon as they try, they are repeatedly finding the ""American Jamaat""",1,1
@HarsimratBadal_ @capt_amarinder Ma'am...for so many years you people have lived your life on 2.5% commission...now let the farmers live as per their wish...you are not concerned about the farmers but about your commission...and in the farmers protest from the Pakistan side of Khalistan,0,0
Aagya quont to defend your fatherð,1,1
"We are Hindus, not mulla
These people are katua
#Hindutva
#HinduRashtra
#HindusUnderAttack
#HinduLivesMatters
#RSS
#Hindutva",1,0
"@Sanatan101 @RohitK123 @ndtvindia @PrannoyRoyNDTV All these things are being done by BJP people. No one is demanding Khalistan. BJP created this propaganda, so break the protest. Punish the person who committed the rape. Does this mean that all the farmers will become rapists? Then p",1,0
"@sureshk70419935 @iamsrk give your heart a rest son, now it's like a lie has already fallen on the face of Boycott Gang after being hit by #pathan.. Now don't enter other's posts to get insulted any more.",1,0
Andhbhakt be like: this also failed…,1,0
"@DChaurasia2312 Here you are clearly saying Talibani Jamaat.. and then denying it. And who are you to say that #TablighJamaat has spread corona. When the first case came in India, where did it come from?? Why then all the international fl",1,1
"@akladiyan @SardarRaoSaab1 @5trillion_jumIe O uncle, I myself am a farmer's son, understand, and Khalil Imam is accused of treason, uncle, and where did the demand for Khalistan come from in the farmer protest?",1,1
He will be a YouTuber <br>Today let's see what will happen to the slender by keeping him in the niche of Ã°ÂÂÂ Ã°ÂÂÂ,0,0
"You are a Muslim girl and I get attracted towards you, you bloody penguin, we Hindu girls don't even see you, you are a Hindu thief, you yourself are a Muslim brother, you are a Hindu Christian girl, first of all you should say this by doing sharam.",1,0
"@anjanaomkashyap And they are not from Jamaat, right? Otherwise the scene would have been something else by now. No Corona patient was found there. Corona is not even a pandemic disease there. Play the taali",1,1
"@Sumita09445393 Because... the ignorant community is only in our country... and the biggest thing... their supporters are in every opposition party and those who defend them are seen daily in TV debates... these ignorant people will be in a very bad condition... if Corona comes,",1,1
Lesson from Allah Surah Number,0,0
"@DrRazaMustafa1 @ashoswai @sambit_dash @IrfanPathan Now someone tell the truth to the madar, the Jamaat people brought corona from India. That's not all, after the Jamaat, they got up and roamed around in whole India and spread corona... that's not all, that's it, that's it",1,1
Some youtuber must be experimenting...,0,0
"Islam is a disease, it is like a cure for cash, let the whole world start doing this.",1,0
jay shree ram Ã°ÂÂ§Â¡,0,0
@news24tvchannel the bad thing is not because of Modi ji but because of Corona virus which is China's gift to the whole world.,0,0
"@AzaadBharatOrg #HindusUnderAttack Everyone has become Modiyabind, they won't be able to show anything to anyone",0,1
"@zeeshanaftab92 @mehtahansal If they were Tablighis, we would have spit on the corona warriors and attacked them… then would we have performed their last rites?",1,1
"@BabitaPhogat Babita.. you also listen carefully that it is your fault that corona is spreading because of the tableau group, then what if Kanika Kapoor called everyone and made them dance, was she also from the tableau group..?? And this virus does not see any religion, caste or creed",1,1
"@aajtak the world is not that stupid... China is doing this so that the world's attention is diverted from China, which it spread through the corona virus. China is disturbing India so that people's attention is diverted from corona to China",0,1
"The speed at which Corona cases are increasing, we need to share this prayer as much as possible, please share as much as possible.
DUA FOR HIFAZAT FROM CHINESE CORONA VIRUS || How dangerous is China's Wuhan ... https://t.co/23tylXIgQK via @YouTube",0,0
"@Saad_Saif00 @OKM_002 @ShahbazOAD134 @globaltimesnews Yes, now the whole world is coming together to kill that stupid corona virus. Now all the countries will join together to kill your China and your Pakistan which is nothing more than a slave dog.",1,1
"#BBCDocumentary: Modi has the guts to hold a PRESS MEET about #AdaniHindenburg....if not, it is useless.... simple 

#ModiAdaniBhaiBhai https://t.co/7lC4MdJmbx",1,0
"@BabitaPhogat Yes Ma'am.. if the foreigners coming to Tablighi Jamaat had not got visa, then corona would not have happened..
#IndiaFightsCorona",1,1
@AmirhusainAnsa3 @sanjaysharma721 @Azad_Ak_Rai @007AliSohrab What you mean is this corona virus....the Tabligi Jamaat people have brought it from China after saving their lives to spread it in India......use your brain a little and think anyone can also get this disease,1,1
@RanaAyyub They too are going to have Shaheen Bagh and Sardar's Zargarwalia will come out in the doors........ #fakefarmersprotest,1,1
Muslim girl and Hindu girl are with each other or all,0,1
"@Sagar_Gautam_GS read this too…. this tweet has been done to cover up. 
It is clearly written in the first tweet… why would anyone else find it wrong. 
Now that people have caught me, they are saying that they are defaming me. 
Ha ha ??.. the public is not fool. 
They were crazy earlier also",0,0
"@KhanAmanatullah If you had spent the same time on your area as you are spending on Tabligi Jamaat, we could have stopped corona in Delhi even better.. anyway, everyone talks about the same thing",1,1
"@manishvs111 @news24tvchannel steal all of those, tell me when should #Boycottjawan trend? Just like by boycotting Pathan, they made Pathan flop, they will do the same with Jawan, this will also flop… so tell me when to do it.",0,0
"@Hindu__Nation Those who oppose, they would take this claim first, but they oppose it as if they would not get corona. During the Jamaat all these people were supporting it, now that it has become a claim, they are opposing it.",1,1
"@PMOIndia Modi ji, China has created the corona virus, which has given us many blessings.",0,1
@RajatSharmaLive Till now I have not understood what steps the government has taken for the people from Jamaat. They are being treated so that next time they can do the same thing that they have done now. Spreading Corona.,1,1
"@manojmuntashir You can do anything for money, you have paid for IndiaTv

#HindusUnderAttack",1,0
"The effect of Namaste Trump is now visible in Gujarat. Along with Corona, Tabliki Jamaat was just an excuse. 5000 Americans came to India with Trump and no one was screened.. anyway the foolish public is being made even more foolish..",1,1
"@sanjayswadesh @RanaAyyub Tablighi Corona is increasing, we should together burn the country or destroy it… spread hatred or create riots. Why Ranaji?????

#5Aug2020SaffronDay???
#5Aug2020VijayDiwas????
#5Aug2020RamRajyaReturns????
#5Aug2020Jaishree",1,1
@Aman905799 @Gurpree05966587 @NeXus_047 @Gabruuuuuuuuuu_ @amaanbali @jatboy08 this is what I wanted from your tweet..now tell me what is the connection between fake farmer protest and 1984? He has come wearing a khakistani t-shirt..he has understood the entire agenda..that's why you are a khakista,1,1
"@SARFARAJ_VK_INC @sneha2986 @sheelmathew Not for India... For Jamaat... 
For Jamaati...
The stupidity and corona spreading in the whole country...",1,1
"@sudhirchaudhary @ZeeNews Wow, when the #TablighiJamaat people got corona, they were enemies of the country. And now if #ZeeJamaatis have got corona, then warriors...andhbhakts also do amazing work. ????????
#ZeeNewsSealKaro",1,1
"@JavedAmin_INC @sambitswaraj Sir, even if India is not connected to the body, your pieces and your favourite Shaheen Bagh incident, now how will everything come in the video in small quantity?",1,0
"Bhaiyaa, get up now #JusticeForAnkita #IslamicTerrorismInIndia #HindusUnderAttack #HinduLivesMatters",0,1
"@I_M_Shreya @Punitspeaks The most dangerous virus is Tabligi Jamaat, Corona is just an excuse, Tabligi Jamaat will not improve throughout life. Jai Hind Jai Shri Ram.",1,1
"@Tweetorwala 34 people lost their lives in the same 8 rooms, including 5 #Kashmiri Pandits, the rest are Kashmiri Hindus who are in great grief, the Centre must take action on this #HindusUnderAttack",0,1
"Hindenburg is a fool, if Adani had as much research as Silicon Valley Bank, then I swear you would have become Ambani #foolofhindenburg",1,0
The last chor of the court is the end of the Jihadis,1,0
"@vikasF22 All this has happened because of China, Corona virus",0,1
"Media is showing that 1500 corona patients are from Jamaat and are Muslims. 
Let us accept your point for once, then which religion do the 3500 people belong to, are they Hindu, Sikh, Isis or BJP, RSS, Bajrang Dal people? 
What do you think, are Muslims being targeted here or not? 
Rep.",0,0
